url,Positive Sentences,Negative Sentences,Polarity,Subjectivity,Average Sentence Length,Complex Word Percentage,Fog Index,Average Word Length,Complex Word Count,Word Count,Syllable Count,Personal Pronouns
https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,0,0,0.0,0.0,23.126436781609197,40.1877133105802,49.438288023223876,15.220779220779221,471,1172,2676,0
https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,0,0,0.0,0.0,21.324675324675326,29.582806573957015,38.11267670382715,9.8875,234,791,1604,4
https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,0,0,0.0,0.0,21.065934065934066,41.855873642645605,50.28224726901923,11.91764705882353,424,1013,2406,1
https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,0,0,0.0,0.0,18.88659793814433,29.83783783783784,37.39247701309557,9.736842105263158,276,925,1938,15
https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,0,0,0.0,0.0,19.79,31.984585741811177,39.90058574181118,13.139240506329115,332,1038,2176,10
https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,0,0,0.0,0.0,23.296875,32.240437158469945,41.559187158469946,11.4375,236,732,1523,18
https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,0,0,0.0,0.0,12.367647058823529,37.64988009592326,42.59693891945267,9.266666666666667,157,417,914,5
https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,None,None,None,None,None,None,None,None,None,None,None,None
https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,0,0,0.0,0.0,13.683333333333334,27.830188679245282,33.30352201257862,11.777777777777779,118,424,809,2
https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,0,0,0.0,0.0,40.266666666666666,34.73005640612409,50.83672307279076,15.320987654320987,431,1241,2657,10
https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,0,0,0.0,0.0,31.12987012987013,33.33333333333333,45.78528138528138,12.057692307692308,418,1254,2585,1
https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,0,0,0.0,0.0,29.727272727272727,43.17862165963432,55.06953075054341,12.258620689655173,307,711,1706,7
https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,0,0,0.0,0.0,21.96923076923077,30.96446700507614,39.75215931276845,9.609756097560975,244,788,1581,4
